,RU,EN
2458,"Преступник попытался убежать от милиционера, но не смог.",The criminal tried to run away from the policeman but didn’t succeed.
2459,Рядом с клубом стояло несколько милиционеров.,There were several policemen standing outside the club.
2460,Эта девушка очень мила.,This girl is very nice.
2461,Какой милый котёнок!,What a cute kitten!
2462,Джим оказался очень милым и забавным. ,Jim turned out to be very nice and funny.
2463,Главный минус фильма – плохая игра актёров.,The main disadvantage of the film is a bad acting.
2464,Какие есть плюсы и минусы высшего образования?,What are the pros and cons of higher education?
2465,"Мне кажется, у этой профессии нет минусов.",It seems that this profession has no disadvantages.
2466,Мы решили конфликт мирным путём.,We resolved the conflict peacefully.
2467,Войска напали на мирное население.,The troops attacked peaceful civilians.
2468,Мирные жители пострадали из-за стрельбы.,Peaceful inhabitants suffered due to the shooting.
2469,На вечеринке я познакомилась с модным дизайнером одежды.,I met a fashion designer at the party.
2470,Эти модные туфли я купила на распродаже.,I bought these fashionable shoes on sale.
2471,Где ты нашла это модное платье?,Where did you find this fashionable dress?
2472,Рэп популярен среди молодёжи.,Rap is popular among young people.
2473,Молодёжь заполнила весь клуб.,Young people filled the whole club.
2474,Мэр города устроил встречу с молодёжью.,The mayor of the city arranged a meeting with the young people.
2475,Ты молодец!,Well done!
2476,"Актёры – молодцы, мне очень понравился спектакль!","The actors did a great job, I really liked the show."
2477,,
2478,Во времена моей молодости такого не было.,Things like that didn't happen in the days of my youth.
2479,Ещё рано прощаться с молодостью.,It's too early to say goodbye to youth.
2480,Молодость – это прекрасное время!,Youth is a great time!
2481,"Петя молчал и не знал, что сказать.",Petya was silent and didn't know what to say.
2482,Он смотрит на меня и молчит.,He is looking at me and not talking.
2483,Я буду молчать о вашем секрете.,I'll keep your secret.
2484,Ты выбрал неподходящий момент для этого разговора.,You choose the wrong time for this conversation.
2485,Я хочу дождаться подходящего момента.,I want to wait for the right moment.
2486,"Депутаты обсудили важные моменты, которые касаются нового закона.",The deputies discussed the important points that relate to the new law.
2487,Купи мыло по дороге домой.,Buy soap on your way home.
2488,У нас дома нет мыла.,We don't have soap at home.
2489,Помой руки с мылом перед едой.,Wash your hands with soap and water before eating.
2490,Сегодня я буду мыть полы.,Today I'll mop the floors.
2491,"Я мыла посуду вчера, теперь твоя очередь.","I washed the dishes yesterday, now it's your turn."
2492,Весной многие люди моют окна.,Many people wash their windows in the spring.
2493,Недавно мы купили мягкое и удобное кресло.,We recently bought a soft and comfortable armchair.
2494,Это двухместный номер с мягкой мебелью и телевизором.,This is a double room with soft furniture and a television.
2495,Италия – это страна с мягким климатом.,Italy is a country with a mild climate.
2496,Кинь мне мяч!,Throw me the ball!
2497,Саша ударил по мячу и забил гол.,Sasha hit the ball and scored a goal.
2498,"В магазине много разных мячей: футбольных, баскетбольных и волейбольных.","There a lot of different balls in the store: soccer balls, basketballs, and volleyballs."
2499,У нас появилась надежда на лучшее.,Now we have hope for the best.
2500,У меня уже нет никакой надежды.,I have no hope anymore.
2501,Это вселяет надежду.,It gives us hope.
2502,"Я надеюсь, что ты выступишь хорошо завтра!",I hope you perform well tomorrow!
2503,Нужно всегда надеяться на лучшее.,We must always hope for the best.
2504,Руководители компании надеются повторить прошлогодний успех.,The company's directors hope to repeat last year’s success.
2505,Сальвадор Дали нарисовал свою первую картину ещё в детстве.,Salvador Dali painted his first picture in childhood.
2506,Я хочу нарисовать твой портрет!,I want to draw your portrait!
2507,На стене нарисованы цветы.,There are flowers painted on the  wall.
2508,В новый год народ вышел на улицу.,People went ouside in the New Year's Day.
2509,У нашего народа богатая культура.,Our nation has a rich culture.
2510,В России живут представители разных народов.,There are various nations living in Russia.
2511,Михаил Ломоносов – великий деятель науки.,Mikhail Lomonosov was a great scientist.
2512,Наталья Ивановна – кандидат наук.,Natalia Ivanovna has a PhD.
2513,Современная наука развивается очень быстро.,Modern science is developing very quickly.
2514,Эта песня находит отклик в сердцах людей.,This song resonates in people's hearts.
2515,Эмоции находят отражение в искусстве.,Emotions are reflected in art.
2516,Мне приходится находить выход из этой ситуации.,I have to find a way out of this situation.
2517,В начале лета я устроился на работу.,I found a job in the beginning of summer.
2518,"Я не была дома с начала месяца, всё время путешествую.","I haven't been home since the beginning of the month, I've been travelling the whole time."
2519,"Надо спешить, скоро начало спектакля!","Hurry up, the show is starting soon!"
2520,Я начал писать диплом слишком поздно.,I started writing my thesis too late.
2521,Артисты вышли на сцену и начали петь.,The performers went on stage and started singing.
2522,Я начала бегать по утрам.,I started to run in the mornings.
2523,В двадцатом веке начинает развиваться фотография.,Photography started to develope in the 20th century. 
2524,Меня начинают раздражать эти громкие звуки.,These loud sounds are starting to annoy me.
2525,Я играю в футбол начиная с пятого класса.,I have been playing soccer since 5th grade.
2526,Начинается дождь.,It's starting to rain.
2527,Моя карьера начиналась с работы в театре.,My career started with a theater job.
2528,Скоро начинаются каникулы.,Vacation is coming soon.
2529,Сфотографируй меня на фоне неба.,Take a picture of me against the sky.
2530,Сегодня на небе очень много звёзд.,Today there are a lot of stars in the sky.
2531,Небо сегодня мрачное.,The sky is gloomy today.
2532,У нас случилось несчастье.,Something unfortunate happenned to us.
2533,"Не расстраивайся из-за несчастий, всё будет хорошо!","Don't worry about misfortunes, everything will be fine!"
2534,Писателя погубила несчастная любовь.,An unfortunate love ruined the writer's life.
2535,Он пытался вылечить несчастного больного.,He was trying to cure the unlucky patient.
2536,В больнице много несчастных людей.,There are many unhappy people in the hospital.
2537,Температура опустилась ниже нуля.,The temperature dropped below zero.
2538,У Маши дома низкий потолок.,There is a low ceiling in Masha's home.
2539,Низкая самооценка – это серьёзная проблема.,Low self-esteem is a severe problem.
2540,Катя напевала что-то себе под нос.,Katya sang something under her breath.
2541,Петя шмыгнул носом.,Petya sniffled.
2542,"Я упал, и у меня пошла кровь из носа.",I fell and got a nosebleed.
2543,Я не могу найти свои носки.,I can't find my socks.
2544,Зимой я сплю в шерстяных носках.,I sleep in wool socks in winter.
2545,Я пнул мяч носком ботинка.,I kicked the ball with my toe.
2546,Петя обещал прийти сегодня.,Petya promised to come today.
2547,"Наш преподаватель обещает, что экзамен будет несложным.",Our teacher promises that the exam won’t be hard.
2548,Мои друзья обещают подарить мне велосипед на день рождения.,My friends promise to give me a bike for my birthday.
2549,Человек не может жить без общества.,A person can't live without society.
2550,В современном обществе так не принято.,That's not accepted in modern society.
2551,Наше общество не готово к переменам.,Our society is not ready for change.
2552,Я повесил объявления на улице.,I posted ads on the street.
2553,Вчера я увидел объявление о продаже квартиры.,Yesterday I saw an advertisment for the sale of an apartment.
2554,Около подъезда висит много объявлений.,There are a lot of ads hanging near the entrance.
2555,Я не хочу ничего тебе объяснять.,I don't want to explain anything to you.
2556,Преподаватель по истории очень хорошо объясняет материал.,Our history teacher explains the material very well.
2557,Учёные объясняют это неохотно.,Scientists are reluctant to explain this.
2558,Я самый обыкновенный человек.,I am a very ordinary person.
2559,"Я не красавица, а самая обыкновенная женщина.","I am not a beauty, just an ordinary woman."
2560,Это фильм про обыкновенных людей.,This is a film about ordinary people.
2561,У меня обычная однокомнатная квартира.,I have a normal one-room apartment.
2562,Здесь работают самые обычные люди.,Very ordinary people work here.
2563,В фильме снимались дети из обычных семей.,Children from ordinary families starred in the film.
2564,Это огромный труд.,It's a big job.
2565,Он обладает огромным творческим потенциалом.,He has enormous creative potential.
2566,Огромное вам спасибо!,Thanks a lot!
2567,"Скоро поезд, пора одеваться.","Time to get dressed, the train will come soon."
2568,"Я думаю, что раньше люди одевались более нарядно.",I think that earlier people used to dress more elegantly.
2569,"Одевайся, мы уже выходим.","Get dressed, we're leaving."
2570,Нам нужен одинаковый размер.,We need the same size.
2571,Эти сумки одинаковые по цвету.,These bags are the same color.
2572,Эти слова почти одинаковы по значению.,These words are almost identical in meaning.
2573,У озера очень красиво вечером.,It's very beautiful near the lake in the evening.
2574,Мы поедем купаться на озеро.,We will go to the lake to swim.
2575,Вчера я искупался в озере.,Yesterday I swam in the lake.
2576,Не могу дождаться окончания рабочего дня.,Can't wait for the end of my work day.
2577,Я с радостью думаю об окончании университета.,It makes me happy to think about graduating.
2578,Окончание вечера было потрясающим.,The end of the evening was awesome.
2579,Михаил – опытный инженер.,Mikhail is an experienced engineer.
2580,Опытные работники ценятся на рынке.,Experienced workers are valued on the job market.
2581,Он был опытным лётчиком.,He was an experienced pilot.
2582,Дует холодный осенний ветер.,A cold autumn wind is blowing.
2583,Я уже неделю хожу в осеннем плаще.,I've been wearing my autumn coat for a week now.
2584,Я люблю запах осенней листвы.,I love the smell of autumn leaves.
2585,Вопрос касался в основном зарплаты.,The question mainly concerned wages.
2586,В городе работают четыре основных предприятия.,The city has four major businesses.
2587,Это основная проблема современного образования.,This is the main problem of modern education.
2588,Я хочу провести отпуск на острове.,I want to spend my vacation on the island.
2589,Мои родители скоро поедут на остров Гаити.,My parents will soon visit the island of Haiti.
2590,Маша недавно вернулась с острова Крит. Ей очень понравилась природа.,Masha has recently returned from the island of Crete. She really enjoyed the nature there.
2591,Он быстро ответил на моё сообщение.,He answered my message quickly.
2592,Нужно что-то ему ответить.,I need to give him some kind of answer.
2593,Я ответила на твой вопрос?,Did I answer your question?
2594,Преподаватель не отвечает на мои вопросы.,The teacher doesn't answer my questions.
2595,Я не хочу за это отвечать.,I don't want to be responsible for that.
2596,Петя отлично отвечал у доски.,Petya gave an excellent answer in front of the class.
2597,С возрастом человек открывает для себя много нового.,A person discovers a lot of new things with age.
2598,Кто будет открывать шампанское?,Who will open the champagne?
2599,"Я случайно упал, открывая дверь.",I accidentally fell when I was opening the door.
2600,Магазин открывается в десять утра.,The store opens at 10 a.m.
2601,"Я не выспался, утром глаза совсем не открывались.","I did not sleep well, that's why in the morning my eyes did not open at all."
2602,Кафе обычно открываются не раньше девяти утра.,Cafes do not usually open before nine in the morning.
2603,"Я ушёл с церемонии открытия, потому что было очень скучно.",I left the opening ceremony because it was very boring
2604,Открытие выставки прошло великолепно.,The opening of the exhibition was great.
2605,В шестнадцатом веке сделано много географических открытий.,Many geographical discoveries were made in the sixteenth century.
2606,Мне не нравится такое отношение с вашей стороны. ,I don't like that attitude from you.
2607,Саша рассказал о своём отношении к искусству.,Sasha talked about his attitude toward art.
2608,Вася учится на факультете международных отношений.,Vasya is studying at the Department of International Relations.
2609,Я хочу отправить посылку.,I want to send a parcel.
2610,Мы отправили статью в журнал.,We sent an article to the journal.
2611,Я отправил вам отчёт вчера днём.,I sent you a report yesterday afternoon.
2612,"У меня сломался телефон, и я не могу отправлять сообщения.",My phone is broken and I can't send messages.
2613,Родители отправляют мне деньги раз в месяц.,My parents send me money every month.
2614,Андрей отправляет много писем каждый день.,Andrey sends a lot of e-mails every day.
2615,Какое у тебя отчество?,What's your patronymic?
2616,Кто вы по отчеству? Иванович.,What's your patronymic? Ivanovich.
2617,"Мне нужны ваши документы с именем, фамилией и отчеством.","I need your documents with your name, surname and patronymic."
2618,Ваши курсовые работы будет оценивать комиссия.,Your course papers will be graded by the committee.
2619,Экономисты оценивают ситуацию на рынке.,Economists evaluate the situation of the market.
2620,Как вы оцениваете свои шансы?,How do you rate your chances?
2621,Курс рубля сейчас падает.,The rouble is falling now.
2622,Вчера падал крупный снег.,A heavy snow fell yesterday.
2623,С деревьев падали жёлтые листья.,Yellow leaves fell from the trees.
2624,Он показал пальцем на схему.,He pointed at a diagram.
2625,Не щёлкай пальцами! Меня это раздражает.,Don't snap your fingers! It annoys me.
2626,Преступник оставил отпечатки пальцев.,The offender left his fingerprints.
2627,Михаил работает в парламенте.,Mikhail works in the parliament.
2628,Парламент принял новый закон.,The parliament passed a new law.
2629,Этого депутата исключили из парламента.,That deputy was expelled from the parliament.
2630,Кандидат от либеральной партии победил на выборах.,The Liberal Party candidate won the election.
2631,Партия набрала большинство голосов.,The party got the most votes.
2632,Мой друг недавно вступил в партию.,My friend has recently joined the party.
2633,Мой любимый певец скоро выступит в Москве.,My favorite singer will perform in Moscow soon.
2634,На фестиваль приехали певцы и музыканты.,Singers and musicians came to the festival.
2635,"Фанаты певца подошли, чтобы взять автограф.",The singer’s fans came forward to get his autograph.
2636,Певица Мадонна выпустила новый альбом.,The singer Madonna has released a new album.
2637,Недавно я взяла автограф своей любимой певицы.,I recently got my favorite singer’s autograph.
2638,В детстве я хотела стать певицей.,When I was a child I wanted to be a singer.
2639,Моя бабушка уже давно получает пенсию.,My grandma has been receiving a pension for a long time.
2640,Какой сейчас минимальный размер пенсии?,What is the minimum pension now?
2641,Пенсия увеличивается каждый год.,The pension increases every year.
2642,Саша недавно написал и опубликовал свою первую книгу.,Sasha recently wrote and published his first book.
2643,Нил Армстронг – первый человек на Луне.,Neil Armstrong is the first man on the Moon.
2644,С первого раза у тебя ничего не получится.,You won’t succeed the first time.
2645,Я работаю в бюро переводов.,I work for an interpreting firm.
2646,Мне больше нравится этот вариант перевода.,I prefer this version of the translation.
2647,Существуют переводы Библии почти на все языки.,There are translations of the Bible in almost all languages.
2648,Вчера я начал переводить статью на английский.,Yesterday I started translating the article into English.
2649,"Нужно быть внимательным, переводя текст.",You need to be focused when translating the text.
2650,Алексей – переводчик. Он переводит документы на немецкий язык.,Alexey is a translator. He translates documents into German.
2651,Корреспондент передаёт новости с места событий.,The correspondent transmits news from the scene.
2652,Чемпионат мира по футболу будут передавать по всем каналам.,The World Cup will be broadcast on all channels.
2653,Компьютеры передают информацию по всему миру.,Computers transmit information all around the world.
2654,"Переезжая от родителей, я забыл у них ноутбук. Пришлось вернуться за ним.","When I was moving out of my parents’ place, I forgot my laptop there. I had to go back for it."
2655,Я не люблю переезжать с места на место.,I don't like to move from place to place.
2656,Мои родители раньше часто переезжали.,My parents used to move often.
2657,Петя недавно переехал в Москву.,Petya has recently moved to Moscow.
2658,"Мы недавно переехали, ещё никого не знаем.",We've moved recently and don't know anyone yet.
2659,Я хочу переехать в Санкт-Петербург.,I want to move to Saint Petersburg.
2660,По дороге в Рим мы сделали пересадку в Берлине.,"On the way to Rome, we had a connection in Berlin."
2661,Вася переходит на третий курс.,Vasya is moving up to the third year course.
2662,Сегодня многие люди переходят на карты вместо наличных.,Today many people are switching to credit cards instead of cash.
2663,Нельзя переходить дорогу на красный свет!,Don’t cross the road when the light is red.
2664,"В этом фильме всё прекрасно: и игра актёров, и сюжет, и песни.","Everything in this film is wonderful: the acting, the plot, and the songs."
2665,Эта песня мне очень нравится!,I really like this song!
2666,Я умею играть эту песню на гитаре.,I can play this song on the guitar.
2667,Мы испекли пирог. Хочешь попробовать?,We baked a pie. Do you want to try it?
2668,Я очень люблю пироги.,I really like pies.
2669,"Положи мне кусочек пирога, пожалуйста.","Give me a piece of pie, please."
2670,В детстве бабушка пекла мне пирожки.,When I was a child my grandmother baked buns for me.
2671,Будешь пирожок с яблоком?,Will you have an apple pie?
2672,Маша не умеет плавать.,Masha can't swim.
2673,Раньше я хорошо плавала.,I used to swim well.
2674,Летом мы ездили на море и много плавали.,In the summer we went to the sea and swam a lot.
2675,Я очень расстроилась из-за экзамена и даже плакала.,I was very upset about the exam and even cried.
2676,"Ребёнок плачет, потому что хочет есть.",The child is crying because he wants to eat.
2677,В детстве я много плакал.,I cried a lot in my childhood.
2678,Уже пора платить за квартиру.,It's time to pay the rent.
2679,"Я только что устроилась на работу, мне платят немного.","I just got a job, I'm not paid much."
2680,Кто платит за ужин?,Who is paying for dinner?
2681,Вчера я купила новый плащ.,Yesterday I bought a new raincoat.
2682,Осенью я люблю ходить в плаще.,In autumn I like to wear a raincoat.
2683,Завтра будет дождь. Я возьму с собой в поездку свитер с плащом. ,It will rain tomorrow. I'll take a raincoat and a sweater on the trip.
2684,"Смотри, корабль плывёт!","Look, the ship is sailing!"
2685,"Ветер сильный, поэтому облака плывут быстро.","The wind is strong, that's why the clouds are moving fast."
2686,Плыть против течения тяжело.,It's hard to swim against the current.
2687,Победа в этом соревновании очень важна для меня.,It's very important for me to win in this competition.
2688,Девятого мая в России отмечают День Победы.,On May 9th people in Russia celebrate Victory Day.
2689,Наша команда одержала победу.,Our team has won.
2690,Добро всегда побеждает!,Good always triumphs.
2691,Наши футболисты начали побеждать в этом сезоне.,Our football team began to win this season.
2692,Демократы давно не побеждали на выборах.,Democrats haven't won the election for a long time.
2693,Нам нужно побеседовать. Встретимся завтра?,We need to talk. Shall we meet tomorrow?
2694,Я хочу вас поблагодарить за эту возможность.,I want to thank you for this opportunity.
2695,Начальник недавно поблагодарил меня за хорошую работу.,My boss recently thanked me for doing a good job.
2696,Маша поблагодарила официанта и оплатила счёт.,Masha thanked the waiter and paid the bill.
2697,Я побывал в пяти странах этим летом.,I visited 5 countries this summer.
2698,Мне было бы интересно побывать в Японии.,I'd like to visit Japan.
2699,Осенью мы побывали в Румынии.,We visited Romania this autumn.
2700,Тебе очень повезло!,You got really lucky!
2701,"Надеюсь, мне повезёт на экзамене.",I hope I will get lucky on the exam.
2702,"Петя серьёзно заболел, и его повезли в больницу.",Petya got seriously ill and was taken to the hospital.
2703,Ты выходишь замуж? Не могу поверить!,You're getting married? I can't believe it!
2704,"Поверьте Ивану, он специалист в этом вопросе.",You can trust Ivan because he's an expert in this field.
2705,Зря я ему поверил.,I shouldn't have believed him.
2706,Бег поднимает мне настроение.,Running makes me feel better.
2707,"""За любовь!"" - сказал Андрей, поднимая бокал.","""To love!"" - said Andrey raising his glass."
2708,Тебе нельзя поднимать тяжести!,Don't lift weights!
2709,Ты умеешь сидеть в позе лотоса?,Can you sit in the lotus position?
2710,Актёры приняли одинаковые позы.,The actors took the same posture.
2711,Модель приняла странную позу.,The model took a strange posture.
2712,"Я позвал всех в кафе во вторник, но многие не смогут прийди. Нужно выбрать другой день.",I invited everyone to the cafe on Tuesday but many of them can't come. I have to choose another day.
2713,Я хочу позвать друзей в гости на Новый год.,I want to invite my friends to my New Year’s party.
2714,Ты уже позвала всех на день рождения?,Did you invite all your friends to your birthday party?
2715,Я бы хотел поздравить вас с днём свадьбы! Желаю счастья и благополучия.,Congratulations on your wedding day! I wish you happiness and well-being.
2716,Завтра мы поздравим папу с юбилеем.,Tomorrow we will congratulate our dad on his jubilee.
2717,Почему ты не поздравил коллег с Новым годом?,Why didn't you congratulate your colleagues on the New Year?
2718,От души вас поздравляем!,We congratulate you with all our heart!
2719,Каждый год президент поздравляет граждан России с Новым годом.,Every year the president congratulates the citizens of Russia on the New Year.
2720,Поздравляю с Международным женским днём!,Congratulations on International Women's Day!
2721,"Ты знаешь Васю? Нет, мы ещё не успели познакомиться.","Do you know Vasya? No, we haven't met yet."
2722,Недавно я познакомился с очень красивой девушкой.,Recently I met very beautiful girl.
2723,Мы с Аней познакомились в школе.,Anya and I met at school.
2724,Я хочу тебе кое-что показать.,I want to show you something.
2725,Иван наглядно показал результат своего исследования.,Ivan clearly showed the result of his research.
2726,"Исследования показали, что скоро многих работников заменят роботы.",Studies have shown that many workers will soon be replaced by robots.
2727,Что это за шум? Тебе показалось.,"What’s that noise? No, you just thought you heard something."
2728,Я боюсь показаться глупым.,I'm afraid of looking like a fool.
2729,Из-за облаков показался самолёт.,A plane appeared from behind the clouds.
2730,"Опыт показывает, что эти телефоны часто ломаются.",Experience shows that these phones often break down.
2731,По телевизору показывают фигурное катание.,There is figure skating on TV now.
2732,Показывать язык невежливо!,It's impolite to srick out your tongue!
2733,Тарелка упала на пол и разбилась.,The plate fell to the floor and broke.
2734,"Не сиди на полу, там холодно.","Don't sit on the floor, it's cold."
2735,Нужно собрать осколки с пола.,We need to gather up the shards from the floor.
2736,"Учёные полагают, что население Земли будет расти.",Scientists believe that the Earth's population will grow.
2737,"Надо полагать, это действительно так.",One has to believe that it really is that way.
2738,"Я полагаю, что так будет лучше.",I believe that it will be better that way.
2739,Игрока удалили с поля за нарушение правил.,The player was removed from the field for breaking the rules.
2740,Это футбольное поле очень большое.,This soccer field is very big.
2741,Летом мы побывали на Елисейских полях.,This summer we visited the Champs Elysees.
2742,В овощах содержится много полезных веществ.,Vegetables contain many nutrients.
2743,Заниматься спортом полезно для здоровья.,Sports are good for one’s health.
2744,Некоторые компьютерные игры полезны для развития ребёнка.,Some computer games are useful for child development.
2745,Весной мы полетели на отдых в Турцию. Нам очень понравлось.,This spring we flew to Turkey on vacation and really liked it.
2746,"Смотри, самолёт полетел!","Look, a plane flew by!"
2747,Скоро птицы полетят на юг.,The birds will soon fly south.
2748,Завтра я пойду в поликлинику на обследование.,Tomorrow I will go to the doctor’s office for an examination.
2749,С утра в поликлинике много народу.,There are a lot of people in the clinic in the morning.
2750,Большое количество мигрантов – это проблема внешней политики.,A large number of migrants is a foreign policy problem.
2751,Такая политика никуда не годится.,This policy is unacceptable.
2752,Я не люблю разговоры про политику.,I don't like to talk about politics.
2753,В зале собрались представители политических партий.,The representatives of the political parties gathered in the hall.
2754,Эта ситуация очень удобна для политической элиты.,This situation is very profitable for political elites.
2755,Политическая обстановка в стране нестабильна.,The political situation in the country is unstable.
2756,В войну мой дедушка командовал полком.,During the war my grandfather was in a command of a regiment.
2757,Он прошёл мимо стоявших строем полков.,He passed by the regiments that were standing in formation.
2758,Командир полка готовился к бою.,The regiment commander was preparing for battle.
2759,"Мне кажется, все любят получать подарки.",I think that everyone likes getting presents.
2760,Сколько он получает?,What is his pay?
2761,"Петя и Маша получают повышенную стипендию, потому что хорошо учатся.",Petya and Masha receive an increased scholarship because they study hard.
2762,Мне нужно получить доступ к этой базе данных.,I need to get access to this database.
2763,Мой сын получил приз за лучшее сочинение.,My son received a prize for the best composition.
2764,Его родители получили образование за рубежом.,His parents got their education abroad.
2765,Где здесь можно поменять доллары на рубли?,Where can I change dollars for rubles?
2766,Многие успешные люди поменяли профессию в зрелом возрасте.,Many successful people changed their profession in adulthood.
2767,Я недавно поменял работу. Здесь мне нравится гораздо больше!,I recently changed my job. I like it here much more!
2768,Ничто не могло помешать ему воплотить свою мечту.,Nothing could stop him from realizing his dream.
2769,Друзья никогда не помешают.,Friends never hurt.
2770,"Он хотел переехать в Москву, но ему что-то помешало.","He wanted to move to Moscow, but something prevented him from doing it."
2771,Я люблю помогать людям.,I like to help people.
2772,Коля помогает своим родителям финансово.,Kolya helps his parents financially.
2773,Занятия рисованием помогают мне сосредоточиться.,Drawing lessons help me to concentrate.
2774,Могу я вам помочь?,Can I help you?
2775,Это лекарство точно поможет.,This medicine will definitely help.
2776,Вчера Саша помог мне с домашней работой.,Sasha helped me with my homework yesterday.
2777,Такое красивое фото можно сделать только с помощью фотоаппарата.,Such a beautiful photograph can only be taken with a camera.
2778,Я доделал работу не без твоей помощи. Спасибо!,With your help I finished the job. Thanks!
2779,Спасибо большое тебе за помощь!,Thank you very much for your help!
2780,Завтра будем делать уборку. Нужно помыть окна.,We will clean up tomorrow. We need to wash the windows.
2781,Я помою посуду.,I'll wash the dishes.
2782,Вы уже помыли руки?,Did you wash your hands?
2783,"Я не понимаю, почему он так поступил.",I don't understand why he behaved like that.
2784,Ты понимаешь французский язык?,Do you understand French?
2785,Это поможет нам лучше понимать друг друга.,It will help us understand each other better.
2786,Я не могу понять смысл этой песни.,I can't make sense of this song.
2787,"Он понял, что был не прав.",He realized that he was wrong.
2788,"Ещё в детстве я поняла, что хочу стать певицей.",When I was a child I realized that I wanted to be a singer.
2789,Он пообещал прийти к пяти часам.,He promised to come at five o'clock.
2790,"Петя может пообещать что угодно, но ничего не сделать.",Petya can promise everything but do nothing.
2791,Чиновники пообещали поднять пенсии.,The officials promised to raise pensions.
2792,Мой преподаватель пишет статьи для популярных научных журналов.,My teacher writes articles for popular science magazines.
2793,Шахматы – это очень популярная интеллектуальная игра.,Chess is a popular intellectual game.
2794,В детстве я хотел стать популярным писателем.,When I was a child I wanted to become a popular writer.
2795,Я успел купить последние билеты на самолёт.,I managed to buy the last tickets for the flight.
2796,В течение последних двух лет я работал программистом.,I've been working as a programmer for the past two years.
2797,"Последнее время я встаю очень поздно, в одиннадцать утра.","Lately I’ve been getting up very late, at eleven am."
2798,Это послужит тебе хорошим уроком на будущее.,This will be a good lesson for you for the future.
2799,Что послужило поводом для вашего конфликта?,What was the reason for your conflict?
2800,Исследования социального неравенства послужили основой для моей курсовой работы.,Social inequality studies served as the basis for my termpaper.
2801,В этом баре можно послушать живую музыку.,You can listen to live music in this bar.
2802,Почему ты не послушал моего совета?,Why didn't you listen to my advice?
2803,Обязательно послушай эту песню! Тебе понравится.,You have to listen to this song! You'll enjoy it.
2804,Что ты можешь посоветовать в этой ситуации?,What's your advice in this situation?
2805,Друзья посоветовали мне прочитать эту книгу.,My friends told me to read this book.
2806,Вася посоветовал мне сходить к психологу.,Vasya advised me to go to a psychologist.
2807,Посол Великобритании сделал сенсационное заявление.,British ambassador made a sensational statement.
2808,Интервью американского посла вызвало бурную реакцию.,An interview with the US ambassador caused a furious reaction.
2809,Что вы думаете о после Нидерландов и его поведении в этой ситуации?,What do you think about the ambassador of the Netherlands and his behavior in this situation?
2810,Посольство Франции отказалось от комментариев.,The Embassy of France declined to comment.
2811,Мой отец работает пресс-секретарём российского посольства.,My father is a press secretary in the Russian Embassy.
2812,Муж моей подруги работает в посольстве и часто ездит в комадировки.,My friend's husband works in the embassy and often goes on business trips.
2813,Попробуй поставить себя на его место. ,Try to put yourself in his position.
2814,Врач поставил мне диагноз – бронхит.,"The doctor gave me a diagnosis, it's bronchitis."
2815,Мы быстро поставили палатку и начали жарить шашлык.,We quickly set a tent up and started our barbecue.
2816,"Я катался на коньках, потерял равновесие и упал.","When skating, I loss my balance and fell."
2817,Мы уже потеряли надежду найти дорогу домой.,We've already lost hope of finding our way home.
2818,Где ты мог потерять ключи?,Where could you have lost your keys?
2819,Он потратил уйму денег на ремонт квартиры.,He spent a pile of money renovating his apartment.
2820,Я планирую потратить на поездку пятьдесят тысяч рублей.,I plan to spend 50 thousand rubles on a trip.
2821,"Мы потратили два часа, чтобы добраться до дома. На дороге были жуткие пробки!",We spent 2 hours getting home because of terrible traffic jams.
2822,Он наклонился и поцеловал свою жену.,He bent down and kissed his wife.
2823,Дай я тебя поцелую.,Let me kiss you.
2824,Света поцеловала его на прощание.,Sveta kissed him goodbye.
2825,Нужно уметь пошутить над собой.,You need to know how to make fun of yourself.
2826,"Не обижайся, я же пошутил!","No offense, I was joking!"
2827,"Я боялся, что пошучу неудачно, и поэтому ничего не сказал.",I was afraid that my joke would be bad so I didn’t say anything.
